sample	donor	flow_date	mean1	mean2	sigmasq1	sigmasq2	channel	purity
aipt_160614	aipt	2014-06-16	1.05542653281194	3.35016637140592	0.0583913257180516	0.0703657492977944	APC.A	0.986398763523957
aipt_160614	aipt	2014-06-16	1.09423578060356	2.15061064325618	0.0773444857089629	0.202161895235241	PE.A	0.989489953632148
aipt_160614	aipt	2014-06-16	1.14480974384943	2.85556572414944	0.0430758410960046	0.0266947830453381	Pacific.Blue.A	0.995054095826893
aipt_200614	aipt	2014-06-20	0.925021031111862	3.12935704812958	0.0554610944219343	0.0945440075412471	APC.A	0.989874638379942
aipt_200614	aipt	2014-06-20	0.710671012231532	1.91036506943574	0.163822326262587	0.366437466714874	PE.A	0.991562198649952
aipt_200614	aipt	2014-06-20	1.05527261875083	2.75711346635979	0.0500067082764087	0.0303033083051643	Pacific.Blue.A	0.99397299903568
auim_181114	auim	2014-11-18	1.78971450390626	2.76931865829921	0.148995172912572	0.0526417250082424	APC.A	0.961211673439232
auim_181114	auim	2014-11-18	2.16065973487386	2.41248198835635	0.245230079435866	0.0780805247803763	PE.A	0.982452899889176
auim_181114	auim	2014-11-18	1.81223179630166	2.38443037676938	0.139291852005732	0.0213597646284139	Pacific.Blue.A	0.854820834872553
auim_211114	auim	2014-11-21	1.1645056670742	2.90009939904696	0.0605303294548232	0.0408028955107721	APC.A	0.991952357959118
auim_211114	auim	2014-11-21	1.23161770323802	1.69735162528179	0.0623824435780153	0.270093385738923	PE.A	0.999839047159182
auim_211114	auim	2014-11-21	1.43910925231137	2.59545880296144	0.069212748295837	0.0830391264010654	Pacific.Blue.A	0.985836150008048
babk_161214	babk	2014-12-16	1.19818995083321	2.82899600995262	0.0639093807699389	0.0427213826578954	APC.A	0.967791842475387
babk_161214	babk	2014-12-16	1.21850986228342	2.96538294843114	0.0508256374577599	0.144000443778458	PE.A	0.972573839662447
babk_161214	babk	2014-12-16	1.40076060329831	2.59190439424862	0.0570356572868704	0.0479610986696832	Pacific.Blue.A	0.965119549929677
babk_271115	babk	2015-11-27	1.7136236740208	2.27874051974703	0.0948226438651714	0.0518277565259414	APC.A	0.974261922785768
babk_271115	babk	2015-11-27	1.22775860580654	3.2409663007289	0.0621027534411443	0.110183255393622	PE.A	0.973504920514762
babk_271115	babk	2015-11-27	1.83539080251366	2.7210739236899	0.0677238134783199	0.0443209858696435	Pacific.Blue.A	0.966389099167298
bezi_050815	bezi	2015-08-05	1.26617401432264	2.733815235773	0.0744875792738044	0.0563067699538579	APC.A	0.938400397416791
bezi_050815	bezi	2015-08-05	1.20540826346652	3.05239163410729	0.063595566103885	0.0960118832529629	PE.A	0.934260639178672
bezi_050815	bezi	2015-08-05	1.68034303241791	3.1038593309522	0.0483487421266467	0.0269958134808653	Pacific.Blue.A	0.941546613677761
bezi_210715	bezi	2015-07-21	1.12058114331693	2.23340239491523	0.0772719710373756	0.0679683546842977	APC.A	0.971839799749687
bezi_210715	bezi	2015-07-21	1.22160246320024	2.82676418186481	0.0696185240722203	0.160802898522949	PE.A	0.969180225281602
bezi_210715	bezi	2015-07-21	1.28655518792814	2.63045525777115	0.0704317866523972	0.0280748445943641	Pacific.Blue.A	0.972778473091364
bezi_300715	bezi	2015-07-30	1.10460778349811	2.72372474489131	0.0592454496937236	0.0634252754605867	APC.A	0.954485967718482
bezi_300715	bezi	2015-07-30	1.21288412442789	2.66087290245887	0.079521158761323	0.139340669567695	PE.A	0.949541951432311
bezi_300715	bezi	2015-07-30	1.29614346604514	2.78815420459408	0.0430171725893938	0.0268252387514058	Pacific.Blue.A	0.957830449323833
bima_161214	bima	2014-12-16	1.2601757110734	2.78963471639155	0.0542793074217999	0.0318871826482306	APC.A	0.98824494259158
bima_161214	bima	2014-12-16	1.20882724669777	2.19435586364193	0.0471882724414172	0.116454052305938	PE.A	0.980453799890651
bima_161214	bima	2014-12-16	1.40351731425286	2.30831006234106	0.0489179686004136	0.0563250501697574	Pacific.Blue.A	0.984007654455987
bubh_130415	bubh	2015-04-13	1.15819196880553	2.43239354154626	0.203224732873813	0.0286474429978373	APC.A	0.773885350318471
bubh_130415	bubh	2015-04-13	1.34289743098722	3.67662123896423	0.141937482667172	0.0878959489441442	PE.A	0.807408649011063
bubh_130415	bubh	2015-04-13	1.46980911485791	2.88636899107695	0.155391840564193	0.0247380297188937	Pacific.Blue.A	0.809420046932618
bulb_161214	bulb	2014-12-16	2.072486832281	2.73670674644369	0.0471938407761926	0.0232076723804545	APC.A	0.917502031969656
bulb_161214	bulb	2014-12-16	1.81660931583315	2.58052380157052	0.0457699261007885	0.0715507776659479	PE.A	0.914657274451368
bulb_161214	bulb	2014-12-16	1.99306725589202	2.73101051658361	0.0421478299391022	0.0195833722775932	Pacific.Blue.A	0.906123001896505
cehw_181114	cehw	2014-11-18	1.13501040678077	2.57784784526046	0.0737444073366725	0.0905592228395185	APC.A	0.96436570963144
cehw_181114	cehw	2014-11-18	1.65617450776451	3.59599682456534	0.0664309274449997	0.140207343655401	PE.A	0.958053349623295
cehw_181114	cehw	2014-11-18	1.15898927207521	2.39254541116547	0.0625745351974197	0.042252852262054	Pacific.Blue.A	0.957238851557728
cicb_230415	cicb	2015-04-23	1.1530742881031	2.79026086053198	0.0774825016241017	0.0455713732148533	APC.A	0.983823755969804
cicb_230415	cicb	2015-04-23	1.13359614520117	2.26644574901462	0.0851224738253422	0.192545446255735	PE.A	0.970882760745648
cicb_230415	cicb	2015-04-23	1.54169181022736	2.38340146262008	0.0962213712640431	0.0351864629599492	Pacific.Blue.A	0.95609305191804
