sample	donor	date	staining	file_name	genotype_id
eipl_300715	eipl	300715	CD14+CD16+CD206	eipl_300715_CD14+CD16+CD206.fcs	HPSI0114i-eipl_1
eipl_300715	eipl	300715	isotype	eipl_300715_isotype.fcs	HPSI0114i-eipl_1
eiwy_271115	eiwy	271115	CD14+CD16+CD206	eiwy_271115_CD14+CD16+CD206.fcs	HPSI0214i-eiwy_1
eiwy_271115	eiwy	271115	isotype	eiwy_271115_isotype.fcs	HPSI0214i-eiwy_1
eofe_041214	eofe	041214	CD14+CD16+CD206	eofe_041214_CD14+CD16+CD206.fcs	HPSI1113i-eofe_1
eofe_041214	eofe	041214	isotype	eofe_041214_isotype.fcs	HPSI1113i-eofe_1
eojr_050515	eojr	050515	CD14+CD16+CD206	eojr_050515_CD14+CD16+CD206.fcs	HPSI0613i-eojr_3
eojr_050515	eojr	050515	isotype	eojr_050515_isotype.fcs	HPSI0613i-eojr_3
euir_041214	euir	041214	CD14+CD16+CD206	euir_041214_CD14+CD16+CD206.fcs	HPSI0513i-euir_2
euir_041214	euir	041214	isotype	euir_041214_isotype.fcs	HPSI0513i-euir_2
fafq_161015	fafq	161015	CD14+CD16+CD206	fafq_161015_CD14+CD16+CD206.fcs	HPSI0314i-fafq_1
fafq_161015	fafq	161015	isotype	fafq_161015_isotype.fcs	HPSI0314i-fafq_1
febc_050815	febc	050815	CD14+CD16+CD206	febc_050815_CD14+CD16+CD206.fcs	HPSI0613i-febc_2
febc_050815	febc	050815	isotype	febc_050815_isotype.fcs	HPSI0613i-febc_2
ffdk_200514	ffdk	200514	CD14+CD16+CD206	ffdk_200514_CD14+CD16+CD206.fcs	HPSI0813i-ffdk_1
ffdk_200514	ffdk	200514	isotype	ffdk_200514_isotype.fcs	HPSI0813i-ffdk_1
ffdm_291014	ffdm	291014	CD14+CD16+CD206	ffdm_291014_CD14+CD16+CD206.fcs	HPSI0813i-ffdm_3
ffdm_291014	ffdm	291014	isotype	ffdm_291014_isotype.fcs	HPSI0813i-ffdm_3
fikt_031115	fikt	031115	CD14+CD16+CD206	fikt_031115_CD14+CD16+CD206.fcs	HPSI0114i-fikt_3
fikt_031115	fikt	031115	isotype	fikt_031115_isotype.fcs	HPSI0114i-fikt_3
fpdj_041214	fpdj	041214	CD14+CD16+CD206	fpdj_041214_CD14+CD16+CD206.fcs	HPSI0813i-fpdj_3
fpdj_041214	fpdj	041214	isotype	fpdj_041214_isotype.fcs	HPSI0813i-fpdj_3
fpdj_190914	fpdj	190914	CD14+CD16+CD206	fpdj_190914_CD14+CD16+CD206.fcs	HPSI0813i-fpdj_3
fpdj_190914	fpdj	190914	isotype	fpdj_190914_isotype.fcs	HPSI0813i-fpdj_3
fpdj_200514	fpdj	200514	CD14+CD16+CD206	fpdj_200514_CD14+CD16+CD206.fcs	HPSI0813i-fpdj_3
fpdj_200514	fpdj	200514	isotype	fpdj_200514_isotype.fcs	HPSI0813i-fpdj_3
fpdl_200514	fpdl	200514	CD14+CD16+CD206	fpdl_200514_CD14+CD16+CD206.fcs	HPSI0813i-fpdl_1
fpdl_200514	fpdl	200514	isotype	fpdl_200514_isotype.fcs	HPSI0813i-fpdl_1
fpdl_291014	fpdl	291014	CD14+CD16+CD206	fpdl_291014_CD14+CD16+CD206.fcs	HPSI0813i-fpdl_1
fpdl_291014	fpdl	291014	isotype	fpdl_291014_isotype.fcs	HPSI0813i-fpdl_1
funp_280814	funp	280814	CD14+CD16+CD206	funp_280814_CD14+CD16+CD206.fcs	HPSI0613i-funp_3
funp_280814	funp	280814	isotype	funp_280814_isotype.fcs	HPSI0613i-funp_3
gedo_190914	gedo	190914	CD14+CD16+CD206	gedo_190914_CD14+CD16+CD206.fcs	HPSI0913i-gedo_3
gedo_190914	gedo	190914	isotype	gedo_190914_isotype.fcs	HPSI0913i-gedo_3
giuo_111114	giuo	111114	CD14+CD16+CD206	giuo_111114_CD14+CD16+CD206.fcs	HPSI0613i-giuo_4
giuo_111114	giuo	111114	isotype	giuo_111114_isotype.fcs	HPSI0613i-giuo_4
golb_111114	golb	111114	CD14+CD16+CD206	golb_111114_CD14+CD16+CD206.fcs	HPSI0513i-golb_1
golb_111114	golb	111114	isotype	golb_111114_isotype.fcs	HPSI0513i-golb_1
gomv_291014	gomv	291014	CD14+CD16+CD206	gomv_291014_CD14+CD16+CD206.fcs	HPSI0413i-gomv_3
gomv_291014	gomv	291014	isotype	gomv_291014_isotype.fcs	HPSI0413i-gomv_3
guss_171115	guss	171115	CD14+CD16+CD206	guss_171115_CD14+CD16+CD206.fcs	HPSI0813i-guss_1
guss_171115	guss	171115	isotype	guss_171115_isotype.fcs	HPSI0813i-guss_1
hayt_161015	hayt	161015	CD14+CD16+CD206	hayt_161015_CD14+CD16+CD206.fcs	HPSI1113i-hayt_1
hayt_161015	hayt	161015	isotype	hayt_161015_isotype.fcs	HPSI1113i-hayt_1
hehd_171115	hehd	171115	CD14+CD16+CD206	hehd_171115_CD14+CD16+CD206.fcs	HPSI1213i-hehd_2
hehd_171115	hehd	171115	isotype	hehd_171115_isotype.fcs	HPSI1213i-hehd_2
heja_130815	heja	130815	CD14+CD16+CD206	heja_130815_CD14+CD16+CD206.fcs	HPSI0214i-heja_1
heja_130815	heja	130815	isotype	heja_130815_isotype.fcs	HPSI0214i-heja_1
hiaf_210715	hiaf	210715	CD14+CD16+CD206	hiaf_210715_CD14+CD16+CD206.fcs	HPSI1013i-hiaf_2
hiaf_210715	hiaf	210715	isotype	hiaf_210715_isotype.fcs	HPSI1013i-hiaf_2
hikj_010714	hikj	010714	CD14+CD16+CD206	hikj_010714_CD14+CD16+CD206.fcs	HPSI0613i-hikj_1
hikj_010714	hikj	010714	isotype	hikj_010714_isotype.fcs	HPSI0613i-hikj_1
huls_190914	huls	190914	CD14+CD16+CD206	huls_190914_CD14+CD16+CD206.fcs	HPSI0513i-huls_1
huls_190914	huls	190914	isotype	huls_190914_isotype.fcs	HPSI0513i-huls_1
iasn_160614	iasn	160614	CD14+CD16+CD206	iasn_160614_CD14+CD16+CD206.fcs	HPSI0513i-iasn_3
iasn_160614	iasn	160614	isotype	iasn_160614_isotype.fcs	HPSI0513i-iasn_3
iasn_200514	iasn	200514	CD14+CD16+CD206	iasn_200514_CD14+CD16+CD206.fcs	HPSI0513i-iasn_3
iasn_200514	iasn	200514	isotype	iasn_200514_isotype.fcs	HPSI0513i-iasn_3
ieki_130415	ieki	130415	CD14+CD16+CD206	ieki_130415_CD14+CD16+CD206.fcs	HPSI1113i-ieki_2
ieki_130415	ieki	130415	isotype	ieki_130415_isotype.fcs	HPSI1113i-ieki_2
iicq_020415	iicq	020415	CD14+CD16+CD206	iicq_020415_CD14+CD16+CD206.fcs	HPSI0813i-iicq_1
iicq_020415	iicq	020415	isotype	iicq_020415_isotype.fcs	HPSI0813i-iicq_1
iicq_080415	iicq	080415	CD14+CD16+CD206	iicq_080415_CD14+CD16+CD206.fcs	HPSI0813i-iicq_1
iicq_080415	iicq	080415	isotype	iicq_080415_isotype.fcs	HPSI0813i-iicq_1
iill_031115	iill	031115	CD14+CD16+CD206	iill_031115_CD14+CD16+CD206.fcs	HPSI0813i-iill_1
iill_031115	iill	031115	isotype	iill_031115_isotype.fcs	HPSI0813i-iill_1
iill_201015	iill	201015	CD14+CD16+CD206	iill_201015_CD14+CD16+CD206.fcs	HPSI0813i-iill_1
iill_201015	iill	201015	isotype	iill_201015_isotype.fcs	HPSI0813i-iill_1
iill_281015	iill	281015	CD14+CD16+CD206	iill_281015_CD14+CD16+CD206.fcs	HPSI0813i-iill_1
iill_281015	iill	281015	isotype	iill_281015_isotype.fcs	HPSI0813i-iill_1
iisa_050515	iisa	050515	CD14+CD16+CD206	iisa_050515_CD14+CD16+CD206.fcs	HPSI0114i-iisa_3
iisa_050515	iisa	050515	isotype	iisa_050515_isotype.fcs	HPSI0114i-iisa_3
joxm_140515	joxm	140515	CD14+CD16+CD206	joxm_140515_CD14+CD16+CD206.fcs	HPSI0114i-joxm_1
joxm_140515	joxm	140515	isotype	joxm_140515_isotype.fcs	HPSI0114i-joxm_1
joxm_230415	joxm	230415	CD14+CD16+CD206	joxm_230415_CD14+CD16+CD206.fcs	HPSI0114i-joxm_1
joxm_230415	joxm	230415	isotype	joxm_230415_isotype.fcs	HPSI0114i-joxm_1
